"(-0.3626, -0.0628, -0.164, -0.1934, -0.174)",[ 3.3012 -1.3394  0.25  ]
"(-0.4535, -0.0596, -0.1598, -0.1904, -0.1697)",[ 3.2732 -1.3507  0.25  ]
"(-0.4593, 0.182, -0.156, -0.1876, -0.1643)",[ 3.4941 -0.8214  0.25  ]
"(-0.4621, -0.1869, -0.1672, -0.1944, -0.1803)",[ 3.1016 -1.6129  0.25  ]
"(-0.4518, -0.169, 0.1685, -0.1791, -0.1593)",[ 3.4451 -1.0814  0.25  ]
"(-0.4661, -0.1887, -0.1058, -0.1995, -0.178)",[ 3.1657 -1.5406  0.25  ]
"(-0.4598, -0.1699, -0.0938, -0.1875, 0.3722)",[3.5655 0.117  0.25  ]
"(-0.4652, -0.1877, -0.3644, -0.1986, 0.3533)",[ 3.4299 -0.3706  0.25  ]
"(-0.4717, -0.2014, -0.3719, -0.2027, 0.3482)",[ 3.3995 -0.4577  0.25  ]
"(-0.4529, -0.1814, 0.1557, -0.1813, 0.3681)",[3.5796 0.5512 0.25  ]
"(-0.101, -0.1845, 0.1562, -0.1829, 0.3651)",[3.5961 0.7427 0.25  ]
"(-0.1069, -0.1933, 0.1453, -0.4304, 0.3574)",[3.5966 0.4029 0.25  ]
"(-0.0981, 0.3956, 0.1561, -0.4263, 0.3686)",[3.0913 1.7803 0.25  ]
"(-0.0898, 0.389, 0.1507, -0.4558, 0.358)",[3.0838 1.784  0.25  ]
"(-0.0901, 0.396, 0.1575, 0.1215, 0.365)",[2.6581 2.2866 0.25  ]
"(-0.0951, 0.3936, 0.1542, 0.3304, 0.363)",[2.4457 2.3968 0.25  ]
"(-0.1025, 0.1616, 0.1421, 0.3244, 0.3496)",[2.9084 2.0099 0.25  ]
"(-0.1042, 0.1675, 0.0097, 0.3258, 0.358)",[3.0666 1.8572 0.25  ]
"(-0.0925, 0.1798, 0.3379, 0.3395, 0.3694)",[2.5815 2.2519 0.25  ]
"(-0.0968, 0.174, 0.4912, 0.3335, 0.3638)",[2.3462 2.3589 0.25  ]
"(-0.0998, 0.1646, 0.4875, 0.3294, -0.2765)",[3.3554 0.7637 0.25  ]
"(-0.1062, 0.1666, 0.4855, -0.249, -0.2727)",[3.6143 0.1174 0.25  ]
"(-0.1028, 0.1666, 0.0785, -0.2535, -0.2731)",[ 3.6131 -0.6435  0.25  ]
